Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
28/02/2024 20.48.25,Uomo,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,"Console, Cloud, PC, VR",,"Assassin's creed (saga), Sid Meier's Civilization",,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si tutti i giorni,No,No,Non ho preferenze
28/02/2024 20.50.46,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,Final Fantasy (7-8-9-10),PC,,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Dipende (specifica),Che non comprometta  la connessione sociale con la vita reale ,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Meno di una volta a settimana,No,Si,Non ho preferenze
28/02/2024 20.51.23,Uomo,Generazione Z (1997-2012),licenza media,Meno di un’ora,Multiplayer Online,,Si,,Non saprei,,"Console, Smartphone /Tablet",,Assassin's creed (saga),,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
28/02/2024 20.54.22,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,In generale ci sono molti videogiochi che hanno una narrazione interessante (sono videomaker). Partendo da “Another World” passando per Monkey Island fino a The Last Of Us,"Console, Console portatili",,"God of war (saga norrena), Hades",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
28/02/2024 20.58.03,Uomo,Generazione X (1965-1980),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Si,World of Warcraft ,"Console, PC",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 21.01.03,Donna,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Skyrim,"Console, Console portatili, PC",,Altro (specifica),"Life is strange, Skyrim, Dragon age, Mass effect saga",Dipende (Specifica),"Dipende dal tipo di videogioco, se ha una morale oppure determinati elementi che stimolano il cervello ",No,,Si,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.01.28,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,"Console, Console portatili",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
28/02/2024 21.01.46,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Tanti. Ho imparato le lingue ,"Console, Smartphone /Tablet",,Sid Meier's Civilization,,Si,,Dipende (specifica),Andrebbe rivisto il modo di interazione. Attualmente troppo mordi e fuggi,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 21.01.52,Uomo,Millennials (1981-1996),formazione professionalizzante,2-3 ore,Entrambi,,Si,,Si,Avendo giocato parecchi titoli in inglese mi sono trovato agevolato nell'apprendimento della lingua,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Dipende (Specifica),"Credo dipenda da cosa si voglia insegnare: per quanto i titoli sopracitati come GoW o AC siano basati su eventi storici questi sono modificati per adattarsi alla trama. Penso che non sia possibile utilizzarli come unico strumento didattico, serve un effettivo studio della storia anche per apprezzare i riferimenti in game. Ciò non toglie che un eventuale titolo costruito ad hoc con fini didattici e accurato sia fattibile",Dipende (specifica),Si ma ritengo che la società di persona abbia una componente importante per evitare l'alienazione,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 21.03.23,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Altro,Multiplayer in coop locale,Si,,Si,Assassin's Creed ,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Immortals fenyx rising",,Si,,No,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.08.32,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,"Rome: Total War, ma è solo uno dei tantissimi.",Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Si e li utilizzo,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.10.56,Donna,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Non saprei,,"Console, PC, Smartphone /Tablet",,"God of War (saga Greca), Age of Empire",,Si e li utilizzo,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.11.41,Uomo,Generazione X (1965-1980),licenza media,Meno di un’ora,Entrambi,,Si,,No,,Console,,Altro (specifica),"Skyrim,o in genere elder scroll",No,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
28/02/2024 21.12.51,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Odyssey ,PC,,"Assassin's creed (saga), God of war (saga norrena), Sid Meier's Civilization",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.13.01,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Mai,Entrambi,,Si,,Non saprei,,Console,,Nessuno,,Si,,No,,No,No,No non ho imparato un altra lingua,,No,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 21.13.23,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Dipende (specifica),"Dipende dall’idea di sviluppo alla base di quel videogioco. Molti di essi purtroppo sono solo azioni commerciali per avere più profitto possibile, altri hanno una filosofia di sviluppo ed essa viene portata avanti e alimentata per tutte le fasi di sviluppo, fino alla pubblicazione. Questi ultimi sono assimilabili ad opere d’arte e come tali, posso trovare o meno il gradimento del grande pubblico, ma sono oggettivamente capolavori per uno o più aspetti. I videogiochi hanno svariate sfaccettature e sono prodotti complessi e molto difficilmente possono essere definiti capolavori su ogni aspetto, ma non per questo perdono di importanza o non meritano di essere definiti tali",Si,"È da precisare questo si, i giochi di fromsoftwere e la saga di assassin’s creed più di altre, più che insegnarmi mi hanno suggestionato e ispirato lavorativamente parlando ","Console, Console portatili",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Dipende (specifica),"Possono aiutare, ma sostituire integralmente le interazioni dirette non credo sia possibile e consigliabile",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 21.13.30,Donna,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,Console,,Nessuno,,Si,,No,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,No,No,Non ho preferenze
28/02/2024 21.15.00,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,"Tutti, a partire da Okami ps2 quasi 20 anni fa per cui, non essendoci la lingua italiana, la mattina mi alzavo col dizionario per tradurre cosa dicevano i personaggi e andare avanti nella storia (alla fine finito :D )",PC,,"God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.16.00,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Dipende (specifica),"dipende dal tipo di gioco, alcuni sono puro intrattenimento, altri possono raggiungere vette artistiche",Si,"più che un gioco in particolare, avendo giocato fin da piccolo con titoli in inglese, mi è servito ad imparare la lingua ",Console,,Sid Meier's Civilization,,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.16.26,Donna,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,No,,Console,,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.19.26,Donna,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Non saprei,,Smartphone /Tablet,,Nessuno,,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
28/02/2024 21.19.35,Uomo,Generazione X (1965-1980),licenza media,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,"Console, PC",,Nessuno,,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,No,Non ho preferenze
28/02/2024 21.21.22,Uomo,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Si,Civilization V,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.23.00,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Non saprei,,"PC, Smartphone /Tablet",,Hades,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 21.25.37,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Multiplayer Online,,Dipende (specifica),"I titoli con una bella trama o quelli molto innovativi li definirei ""forma d'arte""",No,,"PC, Smartphone /Tablet",,Age of Empire,,Dipende (Specifica),"Per far si che ciò avvenga è necessario che venga espresso in modo esplicito che gli avvenimenti ritratti sono tratti da una storia vera, sennò si finisce tipo Age of empires 3 dove la storia è campata in aria al contrario del 2 che è abbastanza accurato storicamente",Si,,Si,Si,Si ho imparato un'altra lingua,,Si,No,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.26.03,Uomo,Millennials (1981-1996),formazione professionalizzante,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire, Sid Meier's Civilization, Ryse son of rome, Immortals fenyx rising",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
28/02/2024 21.29.22,Donna,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,,PC,,"Assassin's creed (saga), God of war (saga norrena), Age of Empire, Sid Meier's Civilization",,Si,,Dipende (specifica),,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
28/02/2024 21.33.04,Preferisco non specificarlo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Entrambi,,Si,,Non saprei,,"PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Altro (specifica)",Fate Grand Order,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 21.33.55,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Assassin’s Creed,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
28/02/2024 21.36.35,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
28/02/2024 21.36.45,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Ryse son of rome",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 21.36.50,Donna,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Altro,Single player o multiplayer locale,Si,,Si,Assassin’s Creed - Ezio saga ,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,No,,No,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
28/02/2024 21.38.34,Donna,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Si,distinguere tra una competizione sana ed una tossica,PC,,"Age of Empire, Sid Meier's Civilization",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 21.39.50,Donna,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,No,,No,,"Console, PC",,"Age of Empire, Sid Meier's Civilization",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,No,No,Non ho preferenze
28/02/2024 21.40.12,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Pokemon e Lol mi hanno aiutato molto con l inglese.,PC,,Nessuno,,Dipende (Specifica),"Se il videogioco offre una prospettiva unica sull argomento si. Per esempio poter osservare i borghi italiani in assassins creed 2 è valido in quanto non esiste un modo diverso per fare quel tipo di esperienza tranne andarci lì direttamente, ma spiegare la mitologia greca con hades è abbastanza ridicolo.",Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.40.52,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,Assassin's Creed e Life Is strange,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Dipende (specifica),Possono facilitarla ma renderebbe più complicata la socialità reale. Dovrebbe aiutarla ma senza sostituirla ,No,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
28/02/2024 21.41.01,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Hades",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
28/02/2024 21.42.13,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Red dead redemption 2,"Console, Console portatili, Smartphone /Tablet",,"Assassin's creed (saga), Altro (specifica)",Red dead redemption 2,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.42.46,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,La serie Assassin's Creed ,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Dipende (Specifica),"Assassin's Creed, GOW o AoE si....Fortnite o Minecraft decisamente no",Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.43.46,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 21.44.20,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Age of Empires II - The Conqueros Expansion,"PC, Smartphone /Tablet",,Age of Empire,,Si,,Dipende (specifica),Bisogna saper gestire bene il tempo da dedicare ai videogiochi ed alla vita reale,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.45.12,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,"Assassin's Creed, tutta la saga.","Console, Console portatili, VR",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Ryse son of rome, Immortals fenyx rising",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 21.45.12,Donna,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,Smartphone /Tablet,,Nessuno,,Si,,Si,,No,No,No non gioco ai videogiochi,,Si,No,Si ogni settimana,No,No,Non ho preferenze
28/02/2024 21.47.23,Donna,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,"In realtà tantissimi, FF8, Metal Gear, Legend of Dragon, Shadow of Destiny (o Memories),",Console,,"Assassin's creed (saga), God of War (saga Greca), Altro (specifica)",Ci sono personaggi in Finale Fantasy che sono ispirati da varie religioni e mitologie,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,"(Specifico anche se non ho cliccato altro) Anni fa molto videogame non erano doppiati o tradotti in italiano, per cui con pazienza, ci si metteva col vocabolario a tradurre.",Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 21.48.28,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Bioshock ,Console,,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.48.51,Uomo,Millennials (1981-1996),licenza media,Non gioco regolarmente,Single player,,Si,,Si,Assassin's creed ,Console,,Assassin's creed (saga),,Si,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 21.49.21,Uomo,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Dipende (specifica),"Solo quando la narrazione della storia del gioco avviene tramite elementi specifici del medium, come i dialoghi e scelte multiple, o lo scoprire tramite elementi di gameplay diegetici (i souls). ",No,,Console,,"God of War (saga Greca), God of war (saga norrena), Age of Empire, Altro (specifica)","Videogiochi Fromsoftware per shintoismo age of mythology mitologia,  imperium ed empire earth storia, world of warcraft mi fece conoscere lovecraft",Dipende (Specifica),Giochi single player principalmente,No,,Si,Si,Si ho imparato un'altra lingua,"Inglese imparato da 0 quasi a livello B2 solo grazie a world of warcraft, prima che mettessero i server italiani",Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 21.50.18,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 21.50.53,Donna,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Dipende (specifica),Solo se si tratta di giochi collaborativi e non comprtitivi,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
28/02/2024 21.50.56,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Multiplayer Online,,Si,,No,,"PC, Smartphone /Tablet",,"God of War (saga Greca), Age of Empire",,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Mai o quasi mai,Si,No,Non ho preferenze
